"","gmDate","homeTeam","awayTeam","homeTeamRate","awayTeamRate","homeTeamlast10","awayTeamlast10","histRate","Result"
"146","2017-12-20","POR","SA",0.4375,0.882352941176471,0.3,0.7,0.476190476190476,"Loss"
"147","2017-12-20","GS","MEM",0.785714285714286,0.333333333333333,1,0.2,0.571428571428571,"Win"
"148","2017-12-20","LAC","PHO",0.5,0.25,0.4,0.3,0.833333333333333,"Win"
"149","2017-12-21","CLE","CHI",0.777777777777778,0.466666666666667,0.8,0.7,0.416666666666667,"Win"
"150","2017-12-21","PHI","TOR",0.4375,0.916666666666667,0.2,0.9,0.208333333333333,"Loss"
"151","2017-12-21","NY","BOS",0.75,0.764705882352941,0.6,0.5,0.375,"Win"
"152","2017-12-21","PHO","MEM",0.294117647058824,0.333333333333333,0.4,0.2,0.318181818181818,"Win"
"153","2017-12-21","UTA","SA",0.705882352941177,0.882352941176471,0.3,0.7,0.363636363636364,"Win"
"154","2017-12-22","DET","NY",0.666666666666667,0.75,0.4,0.6,0.523809523809524,"Win"
"155","2017-12-22","ORL","NO",0.4,0.533333333333333,0.2,0.5,0.583333333333333,"Loss"
"156","2017-12-22","BKN","WAS",0.411764705882353,0.6,0.4,0.5,0.333333333333333,"Win"
"157","2017-12-22","HOU","LAC",0.722222222222222,0.5,0.8,0.5,0.409090909090909,"Loss"
"158","2017-12-22","MIA","DAL",0.5,0.388888888888889,0.6,0.3,0.833333333333333,"Win"
"159","2017-12-22","MIL","CHA",0.6875,0.5,0.6,0.2,0.363636363636364,"Win"
"160","2017-12-22","OKC","ATL",0.75,0.266666666666667,0.7,0.2,0.666666666666667,"Win"
"161","2017-12-22","POR","DEN",0.411764705882353,0.785714285714286,0.3,0.4,0.666666666666667,"Loss"
"162","2017-12-22","GS","LAL",0.8,0.428571428571429,1,0.3,0.708333333333333,"Win"
"163","2017-12-23","TOR","PHI",0.923076923076923,0.4375,0.9,0.1,0.791666666666667,"Win"
"164","2017-12-23","CHA","MIL",0.526315789473684,0.6875,0.3,0.5,0.636363636363636,"Win"
"165","2017-12-23","IND","BKN",0.611111111111111,0.411764705882353,0.7,0.4,0.681818181818182,"Win"
"166","2017-12-23","WAS","ORL",0.625,0.4,0.6,0.1,0.791666666666667,"Win"
"167","2017-12-23","ATL","DAL",0.3125,0.388888888888889,0.3,0.2,0.833333333333333,"Win"
"168","2017-12-23","BOS","CHI",0.777777777777778,0.466666666666667,0.5,0.7,0.454545454545455,"Win"
"169","2017-12-23","MEM","LAC",0.368421052631579,0.5,0.2,0.5,0.409090909090909,"Win"
"170","2017-12-23","MIA","NO",0.466666666666667,0.533333333333333,0.6,0.5,0.5,"Loss"
"171","2017-12-23","UTA","OKC",0.666666666666667,0.75,0.2,0.7,0.25,"Loss"
"172","2017-12-23","GS","DEN",0.75,0.785714285714286,0.9,0.5,0.545454545454545,"Loss"
"173","2017-12-23","PHO","MIN",0.277777777777778,0.647058823529412,0.3,0.7,0.454545454545455,"Loss"
"174","2017-12-23","LAL","POR",0.4,0.411764705882353,0.3,0.4,0.19047619047619,"Loss"
"175","2017-12-23","SAC","SA",0.384615384615385,0.882352941176471,0.4,0.7,0.0454545454545455,"Loss"
"176","2017-12-25","GS","CLE",0.764705882352941,0.777777777777778,0.9,0.7,0.75,"Win"
"177","2017-12-25","BOS","WAS",0.736842105263158,0.625,0.5,0.6,0.545454545454545,"Loss"
"178","2017-12-25","OKC","HOU",0.764705882352941,0.722222222222222,0.8,0.7,0.476190476190476,"Win"
"179","2017-12-25","NY","PHI",0.714285714285714,0.4375,0.6,0.2,0.625,"Loss"
"180","2017-12-25","LAL","MIN",0.375,0.647058823529412,0.3,0.7,0.454545454545455,"Loss"
"181","2017-12-26","DAL","TOR",0.421052631578947,0.923076923076923,0.3,0.8,0.333333333333333,"Win"
"182","2017-12-26","DET","IND",0.6875,0.611111111111111,0.5,0.6,0.291666666666667,"Win"
"183","2017-12-26","MIA","ORL",0.5,0.4,0.7,0.1,0.708333333333333,"Win"
"184","2017-12-26","MIL","CHI",0.647058823529412,0.466666666666667,0.5,0.8,0.416666666666667,"Loss"
"185","2017-12-26","SA","BKN",0.888888888888889,0.411764705882353,0.7,0.3,0.833333333333333,"Win"
"186","2017-12-26","DEN","UTA",0.8,0.666666666666667,0.6,0.2,0.458333333333333,"Win"
"187","2017-12-26","PHO","MEM",0.315789473684211,0.368421052631579,0.4,0.2,0.318181818181818,"Win"
"188","2017-12-26","LAC","SAC",0.533333333333333,0.384615384615385,0.6,0.4,0.833333333333333,"Win"
"189","2017-12-27","CHA","BOS",0.5,0.736842105263158,0.3,0.5,0.285714285714286,"Loss"
"190","2017-12-27","IND","DAL",0.578947368421053,0.421052631578947,0.5,0.4,0.583333333333333,"Loss"
"191","2017-12-27","ATL","WAS",0.352941176470588,0.625,0.4,0.5,0.5,"Win"
"192","2017-12-27","CHI","NY",0.5,0.714285714285714,0.8,0.5,0.590909090909091,"Win"
"193","2017-12-27","MIN","DEN",0.666666666666667,0.8,0.8,0.5,0.458333333333333,"Win"
"194","2017-12-27","NO","BKN",0.5625,0.411764705882353,0.6,0.2,0.666666666666667,"Win"
