"","team1","team2","hist_win","hist_lost","hist_rate"
"347","IND","MIL",30,18,0.625
"348","IND","MIN",14,10,0.583333333333333
"349","IND","NO",18,6,0.75
"350","IND","NY",28,14,0.666666666666667
"351","IND","OKC",10,14,0.416666666666667
"352","IND","ORL",36,6,0.857142857142857
"353","IND","PHI",32,10,0.761904761904762
"354","IND","PHO",14,10,0.583333333333333
"355","IND","POR",6,18,0.25
"356","IND","SA",8,16,0.333333333333333
"357","IND","SAC",16,8,0.666666666666667
"358","IND","TOR",14,30,0.318181818181818
"359","IND","UTA",14,10,0.583333333333333
"360","IND","WAS",22,20,0.523809523809524
"361","LAC","ATL",14,10,0.583333333333333
"362","LAC","BKN",16,8,0.666666666666667
"363","LAC","BOS",16,8,0.666666666666667
"364","LAC","CHA",20,4,0.833333333333333
"365","LAC","CHI",20,4,0.833333333333333
"366","LAC","CLE",10,14,0.416666666666667
"367","LAC","DAL",28,14,0.666666666666667
"368","LAC","DEN",22,20,0.523809523809524
"369","LAC","DET",20,4,0.833333333333333
"370","LAC","GS",10,38,0.208333333333333
"371","LAC","HOU",26,18,0.590909090909091
"372","LAC","IND",8,16,0.333333333333333
"374","LAC","LAL",42,6,0.875
"375","LAC","MEM",26,18,0.590909090909091
"376","LAC","MIA",12,12,0.5
"377","LAC","MIL",18,6,0.75
"378","LAC","MIN",30,14,0.681818181818182
"379","LAC","NO",28,16,0.636363636363636
"380","LAC","NY",22,2,0.916666666666667
"381","LAC","OKC",14,28,0.333333333333333
"382","LAC","ORL",20,4,0.833333333333333
"383","LAC","PHI",18,6,0.75
"384","LAC","PHO",40,8,0.833333333333333
"385","LAC","POR",28,16,0.636363636363636
"386","LAC","SA",20,22,0.476190476190476
"387","LAC","SAC",40,8,0.833333333333333
"388","LAC","TOR",12,12,0.5
"389","LAC","UTA",34,10,0.772727272727273
"390","LAC","WAS",16,8,0.666666666666667
"391","LAL","ATL",14,10,0.583333333333333
"392","LAL","BKN",16,8,0.666666666666667
"393","LAL","BOS",12,12,0.5
"394","LAL","CHA",10,14,0.416666666666667
"395","LAL","CHI",10,14,0.416666666666667
"396","LAL","CLE",6,18,0.25
"397","LAL","DAL",12,32,0.272727272727273
"398","LAL","DEN",12,32,0.272727272727273
"399","LAL","DET",16,8,0.666666666666667
"400","LAL","GS",14,34,0.291666666666667
"401","LAL","HOU",12,32,0.272727272727273
"402","LAL","IND",8,16,0.333333333333333
"403","LAL","LAC",6,42,0.125
"405","LAL","MEM",14,30,0.318181818181818
"406","LAL","MIA",6,18,0.25
"407","LAL","MIL",8,16,0.333333333333333
"408","LAL","MIN",20,24,0.454545454545455
"409","LAL","NO",18,24,0.428571428571429
"410","LAL","NY",8,16,0.333333333333333
"411","LAL","OKC",10,34,0.227272727272727
"412","LAL","ORL",12,12,0.5
"413","LAL","PHI",14,10,0.583333333333333
"414","LAL","PHO",18,30,0.375
"415","LAL","POR",8,34,0.19047619047619
"416","LAL","SA",14,28,0.333333333333333
"417","LAL","SAC",22,26,0.458333333333333
"418","LAL","TOR",6,18,0.25
"419","LAL","UTA",10,32,0.238095238095238
"420","LAL","WAS",6,18,0.25
"421","MEM","ATL",10,14,0.416666666666667
"422","MEM","BKN",14,10,0.583333333333333
"423","MEM","BOS",12,12,0.5
"424","MEM","CHA",12,12,0.5
"425","MEM","CHI",12,12,0.5
"426","MEM","CLE",10,14,0.416666666666667
"427","MEM","DAL",22,26,0.458333333333333
"428","MEM","DEN",26,18,0.590909090909091
"429","MEM","DET",18,6,0.75
"430","MEM","GS",18,24,0.428571428571429
"431","MEM","HOU",26,22,0.541666666666667
"432","MEM","IND",12,12,0.5
"433","MEM","LAC",18,26,0.409090909090909
"434","MEM","LAL",30,14,0.681818181818182
"436","MEM","MIA",12,12,0.5
"437","MEM","MIL",14,10,0.583333333333333
"438","MEM","MIN",28,14,0.666666666666667
"439","MEM","NO",26,22,0.541666666666667
"440","MEM","NY",18,6,0.75
"441","MEM","OKC",16,28,0.363636363636364
"442","MEM","ORL",16,8,0.666666666666667
"443","MEM","PHI",20,4,0.833333333333333
"444","MEM","PHO",30,14,0.681818181818182
"445","MEM","POR",28,16,0.636363636363636
"446","MEM","SA",12,36,0.25
"447","MEM","SAC",34,8,0.80952380952381
